Epochs,learning_rate
0,0.0016666666666666666
1,0.003333333333333333
2,0.003333333333333333
3,0.003333333333333333
4,0.003333333333333333
5,0.003333333333333333
6,0.003333333333333333
7,0.003333333333333333
8,0.003333333333333333
9,0.003333333333333333
10,0.003333333333333333
11,0.003333333333333333
12,0.003333333333333333
13,0.003333333333333333
14,0.003333333333333333
15,0.003333333333333333
16,0.003333333333333333
17,0.003333333333333333
18,0.003333333333333333
19,0.003333333333333333
20,0.003333333333333333
21,0.003333333333333333
22,0.003333333333333333
23,0.003333333333333333
24,0.003333333333333333
25,0.003333333333333333
26,0.003333333333333333
27,0.003333333333333333
28,0.003333333333333333
29,0.003333333333333333
30,0.003333333333333333
31,0.003333333333333333
32,0.003333333333333333
33,0.003333333333333333
34,0.003333333333333333
35,0.003333333333333333
36,0.003333333333333333
37,0.003333333333333333
38,0.003333333333333333
39,0.003333333333333333
40,0.003333333333333333
41,0.003333333333333333
42,0.003333333333333333
43,0.003333333333333333
44,0.003333333333333333
45,0.003333333333333333
46,0.003333333333333333
47,0.003333333333333333
48,0.003333333333333333
49,0.003333333333333333
50,0.003333333333333333
51,0.003333333333333333
52,0.003333333333333333
53,0.003333333333333333
54,0.003333333333333333
55,0.003333333333333333
56,0.003333333333333333
57,0.003333333333333333
58,0.003333333333333333
59,0.003333333333333333
60,0.003333333333333333
61,0.003333333333333333
62,0.003333333333333333
63,0.003333333333333333
64,0.003333333333333333
65,0.0003333333333333333
66,0.0003333333333333333
67,0.0003333333333333333
68,0.0003333333333333333
69,0.0003333333333333333
70,0.0003333333333333333
71,0.0003333333333333333
72,0.0003333333333333333
73,0.0003333333333333333
74,0.0003333333333333333
75,0.0003333333333333333
76,0.0003333333333333333
77,0.0003333333333333333
78,0.0003333333333333333
79,0.0003333333333333333
80,0.0003333333333333333
81,0.0003333333333333333
82,3.3333333333333335e-05
83,3.3333333333333335e-05
84,3.3333333333333335e-05
85,3.3333333333333335e-05
86,3.3333333333333335e-05
87,3.3333333333333335e-05
88,3.3333333333333335e-05
89,3.3333333333333335e-05
90,3.3333333333333335e-05
91,3.3333333333333335e-05
92,3.3333333333333335e-05
93,3.3333333333333335e-05
94,3.3333333333333335e-05
95,3.3333333333333335e-05
96,3.3333333333333335e-05
97,3.3333333333333335e-05
98,3.3333333333333335e-05
99,3.3333333333333335e-05
100,3.3333333333333335e-05
101,3.3333333333333335e-05
102,3.3333333333333335e-05
103,0.005
104,0.005
105,0.005
106,0.005
107,0.005
108,0.005
109,0.005
110,0.005
111,0.005
112,0.005
113,0.005
114,0.005
115,0.005
116,0.005
117,0.005
118,0.005
119,0.005
120,0.005
121,0.005
122,0.0005
123,0.0005
124,0.0005
125,0.0005
126,0.0005
127,0.0005
128,0.0005
129,0.0005
130,0.0005
131,0.0005
132,0.0005
133,0.0005
134,0.0005
135,0.0005
136,0.0005
137,0.0005
138,0.0005
139,0.0005
140,0.0005
141,0.0005
142,0.0005
143,0.0005
144,1e-06
145,1e-06
146,1e-06
147,1e-06
148,1e-06
149,1e-06
150,1e-06
151,1e-06
152,1e-06
153,1e-06
154,1e-06
155,1e-06
156,1e-06
157,1e-06
158,1e-06
159,1e-06
160,1e-06
161,1e-06
162,1e-06
163,1e-06
164,1e-06
165,1e-06
166,1e-06
167,1e-06
168,1e-06
169,1e-06
170,1e-06
171,0.005
172,0.005
173,0.005
174,0.005
175,0.005
176,0.005
177,0.005
178,0.005
179,0.005
180,0.005
181,0.0005
182,0.0005
183,0.0005
184,0.0005
185,0.0005
186,0.0005
187,0.0005
188,0.0005
189,0.0005
190,0.0005
191,0.0005
192,0.0005
193,0.0005
194,0.0005
195,0.0005
196,0.0005
197,0.0005
198,0.0005
199,0.0005
200,0.0005
201,0.0005
202,0.0005
203,0.0005
204,0.0005
205,0.0005
206,0.0005
207,0.0005
208,0.0005
209,0.0005
210,0.0005
211,0.0005
212,0.0005
213,0.0005
214,0.0005
215,0.0005
216,0.0005
217,5e-05
218,5e-05
219,5e-05
220,5e-05
221,5e-05
222,5e-05
223,5e-06
224,5e-06
225,5e-06
226,5e-06
227,5e-06
228,5e-06
229,1e-06
230,1e-06
231,0.005
232,0.005
233,0.005
234,0.005
235,0.005
236,0.005
237,0.005
238,0.005
239,0.005
240,0.0005
241,0.0005
242,0.0005
243,0.0005
244,0.0005
245,0.0005
246,0.0005
247,0.0005
248,0.0005
249,0.0005
250,0.0005
251,0.0005
252,0.0005
253,0.0005
254,0.0005
255,0.0005
256,0.0005
257,0.0005
258,0.0005
259,0.0005
260,0.0005
261,0.0005
262,0.0005
263,0.0005
264,0.0005
265,0.0005
266,0.0005
267,0.0005
268,0.0005
269,5e-05
270,5e-05
271,5e-05
272,5e-05
273,5e-05
274,5e-05
275,5e-06
276,5e-06
277,5e-06
278,5e-06
279,5e-06
280,5e-06
281,1e-06
282,1e-06
283,1e-06
284,1e-06
285,1e-06
286,1e-06
287,1e-06
288,1e-06
289,1e-06
290,1e-06
291,1e-06
292,1e-06
293,1e-06
294,1e-06
295,1e-06
296,1e-06
297,1e-06
298,1e-06
299,1e-06
300,1e-06
301,1e-06
302,1e-06
303,1e-06
304,1e-06
305,1e-06
