Epochs,Validation Scores,Validation Running Scores
0,0.6426332288401254,
1,0.6466636811464398,
2,0.6412897447380206,
3,0.6350201522615315,
4,0.6475593372145096,
5,0.6502463054187192,
6,0.6551724137931034,
7,0.6493506493506493,
8,0.651589789520824,
9,0.6426332288401254,
10,0.6466636811464398,
11,0.6533811016569637,
12,0.651589789520824,
13,0.6533811016569637,
14,0.6475593372145096,
15,0.6556202418271384,
0,,0.6426332288401254
1,,0.6466636811464398
2,,0.6412897447380206
3,,0.6350201522615315
4,,0.6475593372145096
5,,0.6502463054187192
6,,0.6551724137931034
7,,0.6493506493506493
8,,0.651589789520824
9,,0.6426332288401254
10,,0.6466636811464398
11,,0.6533811016569637
12,,0.651589789520824
13,,0.6533811016569637
14,,0.6475593372145096
15,,0.6556202418271384
