Epochs,Validation Scores,Validation Running Scores,train
0,78.29204693611473,,
1,82.30117340286832,,
2,82.82268578878748,,
3,82.62711864406779,,
4,82.92046936114733,,
5,81.38852672750978,,
6,83.18122555410692,,
7,82.65971316818775,,
8,83.40938722294655,,
9,83.08344198174707,,
10,83.14863102998696,,
11,82.496740547588,,
12,82.88787483702738,,
13,84.90873533246415,,
14,85.26727509778357,,
15,84.58279009126467,,
16,85.20208604954368,,
17,84.68057366362451,,
18,84.77835723598436,,
19,85.39765319426337,,
20,85.4954367666232,,
21,85.39765319426337,,
22,85.88657105606258,,
23,82.7574967405476,,
24,82.6923076923077,,
25,83.3116036505867,,
26,84.1264667535854,,
27,83.83311603650587,,
28,82.62711864406779,,
29,84.32203389830508,,
30,83.40938722294655,,
31,85.07170795306388,,
32,84.0612777053455,,
33,84.02868318122556,,
34,83.89830508474576,,
35,84.41981747066492,,
36,85.59322033898304,,
37,85.98435462842242,,
38,84.94132985658409,,
39,85.82138200782269,,
0,,78.29204693611473,
1,,82.30117340286832,
2,,82.82268578878748,
3,,82.62711864406779,
4,,82.92046936114733,
5,,81.38852672750978,
6,,83.18122555410692,
7,,82.65971316818775,
8,,83.40938722294655,
9,,83.08344198174707,
10,,83.14863102998696,
11,,82.496740547588,
12,,82.88787483702738,
13,,84.90873533246415,
14,,85.26727509778357,
15,,84.58279009126467,
16,,85.20208604954368,
17,,84.68057366362451,
18,,84.77835723598436,
19,,85.39765319426337,
20,,85.4954367666232,
21,,85.39765319426337,
22,,85.88657105606258,
23,,82.7574967405476,
24,,82.6923076923077,
25,,83.3116036505867,
26,,84.1264667535854,
27,,83.83311603650587,
28,,82.62711864406779,
29,,84.32203389830508,
30,,83.40938722294655,
31,,85.07170795306388,
32,,84.0612777053455,
33,,84.02868318122556,
34,,83.89830508474576,
35,,84.41981747066492,
36,,85.59322033898304,
37,,85.98435462842242,
38,,84.94132985658409,
39,,85.82138200782269,
0,,,66.21302257354739
1,,,80.21351153125255
2,,,85.14383505826746
3,,,89.17773612582512
4,,,91.77736125825116
5,,,93.45611604596202
6,,,94.96373563686741
7,,,95.31415532556434
8,,,96.05574117838808
9,,,97.20479178551055
10,,,97.18849319533861
11,,,97.2536875560264
12,,,97.4492706380898
13,,,98.84280009779154
14,,,99.38065357346589
15,,,99.40510145872382
16,,,99.5436394751854
17,,,99.46214652432565
18,,,99.38880286855186
19,,,99.66587890147503
20,,,99.82071550810855
21,,,99.82886480319452
22,,,99.77996903267868
23,,,98.32124521228914
24,,,97.93822834324831
25,,,98.04416917936598
26,,,98.23160296634342
27,,,98.88354657322142
28,,,98.23975226142939
29,,,98.23975226142939
30,,,98.43533534349278
31,,,98.4679325238367
32,,,98.9242930486513
33,,,98.9242930486513
34,,,98.68796349115802
35,,,98.78575503218971
36,,,99.29101132752017
37,,,99.68217749164697
38,,,99.76367044250672
39,,,99.76367044250672
