Epochs,Normal Epoch Times,PAI Epoch Times
0,131.7207968235016,
1,136.54465198516846,
2,136.5553059577942,
3,136.37254786491394,
4,138.04106879234314,
5,137.7706880569458,
6,136.10139179229736,
7,136.14172077178955,
8,136.40617299079895,
9,136.15620517730713,
10,138.04491782188416,
11,137.86888790130615,
12,137.80791187286377,
13,137.94052386283875,
14,137.86027097702026,
15,137.9653549194336,
16,137.82347321510315,
17,137.77305912971497,
18,137.77790689468384,
19,137.98123693466187,
20,138.00233507156372,
21,138.01414823532104,
22,138.05412793159485,
23,316.6911542415619,
24,317.72169971466064,
25,317.1685712337494,
26,315.92525601387024,
27,316.04802989959717,
28,316.8375720977783,
29,319.02274203300476,
30,316.8147382736206,
31,315.72934198379517,
32,319.10909509658813,
33,315.35651993751526,
34,317.12865567207336,
35,319.3061442375183,
36,319.1977868080139,
37,319.21167635917664,
38,318.976509809494,
39,319.6719388961792,
