Epochs,Validation Scores,Validation Running Scores,train
0,78.29204693611473,,
1,82.30117340286832,,
2,82.82268578878748,,
3,82.62711864406779,,
4,82.92046936114733,,
5,81.38852672750978,,
6,83.18122555410692,,
7,82.65971316818775,,
8,83.40938722294655,,
9,83.08344198174707,,
10,83.14863102998696,,
11,82.496740547588,,
12,82.88787483702738,,
13,84.90873533246415,,
14,85.26727509778357,,
15,84.58279009126467,,
16,85.20208604954368,,
17,84.68057366362451,,
18,84.77835723598436,,
19,85.39765319426337,,
20,85.4954367666232,,
21,85.39765319426337,,
22,85.88657105606258,,
23,85.43024771838331,,
24,85.39765319426337,,
25,85.88657105606258,,
26,85.5606258148631,,
27,84.94132985658409,,
28,85.69100391134289,,
29,85.07170795306388,,
30,85.75619295958279,,
31,85.88657105606258,,
32,85.46284224250326,,
0,,78.29204693611473,
1,,82.30117340286832,
2,,82.82268578878748,
3,,82.62711864406779,
4,,82.92046936114733,
5,,81.38852672750978,
6,,83.18122555410692,
7,,82.65971316818775,
8,,83.40938722294655,
9,,83.08344198174707,
10,,83.14863102998696,
11,,82.496740547588,
12,,82.88787483702738,
13,,84.90873533246415,
14,,85.26727509778357,
15,,84.58279009126467,
16,,85.20208604954368,
17,,84.68057366362451,
18,,84.77835723598436,
19,,85.39765319426337,
20,,85.4954367666232,
21,,85.39765319426337,
22,,85.88657105606258,
23,,85.43024771838331,
24,,85.39765319426337,
25,,85.88657105606258,
26,,85.5606258148631,
27,,84.94132985658409,
28,,85.69100391134289,
29,,85.07170795306388,
30,,85.75619295958279,
31,,85.88657105606258,
32,,85.46284224250326,
0,,,66.21302257354739
1,,,80.21351153125255
2,,,85.14383505826746
3,,,89.17773612582512
4,,,91.77736125825116
5,,,93.45611604596202
6,,,94.96373563686741
7,,,95.31415532556434
8,,,96.05574117838808
9,,,97.20479178551055
10,,,97.18849319533861
11,,,97.2536875560264
12,,,97.4492706380898
13,,,98.84280009779154
14,,,99.38065357346589
15,,,99.40510145872382
16,,,99.5436394751854
17,,,99.46214652432565
18,,,99.38880286855186
19,,,99.66587890147503
20,,,99.82071550810855
21,,,99.82886480319452
22,,,99.77996903267868
23,,,99.85331268845245
24,,,99.78811832776465
25,,,99.94295493439817
26,,,99.8370140982805
27,,,99.88590986879635
28,,,99.92665634422623
29,,,99.9348056393122
30,,,99.95925352457013
31,,,99.95925352457013
32,,,99.91850704914025
