Epochs,Validation Scores,Validation Running Scores,Train
0,66.89930209371884,,
1,66.89930209371884,,
2,67.098703888335,,
3,67.59720837487538,,
4,67.39780658025923,,
5,67.19840478564308,,
6,67.19840478564308,,
7,67.99601196410768,,
8,67.69690927218345,,
9,69.19242273180458,,
10,71.68494516450649,,
11,70.58823529411765,,
12,70.08973080757727,,
13,68.69391824526421,,
14,72.88135593220339,,
15,71.9840478564307,,
16,70.88733798604187,,
17,73.08075772681954,,
18,73.57926221335993,,
19,71.38584247258225,,
20,74.27716849451645,,
21,73.47956131605184,,
22,74.77567298105683,,
23,73.28015952143569,,
24,71.08673978065802,,
25,74.67597208374876,,
26,73.57926221335993,,
27,71.9840478564307,,
28,75.47357926221336,,
29,75.57328015952143,,
30,74.17746759720838,,
31,71.78464606181456,,
32,73.57926221335993,,
33,73.28015952143569,,
34,74.0777666999003,,
35,74.4765702891326,,
36,74.57627118644068,,
37,74.57627118644068,,
38,71.5852442671984,,
39,72.48255234297109,,
40,73.18045862412762,,
41,74.87537387836491,,
42,72.48255234297109,,
43,75.67298105682951,,
44,75.57328015952143,,
45,75.57328015952143,,
46,74.57627118644068,,
47,74.37686939182453,,
48,73.97806580259223,,
49,74.17746759720838,,
50,75.67298105682951,,
51,75.07477567298106,,
52,75.47357926221336,,
53,74.57627118644068,,
54,75.17447657028913,,
55,75.47357926221336,,
56,76.5702891326022,,
57,74.97507477567298,,
58,75.07477567298106,,
59,73.28015952143569,,
60,75.07477567298106,,
61,74.77567298105683,,
62,76.07178464606181,,
63,74.0777666999003,,
64,74.0777666999003,,
65,74.77567298105683,,
66,74.27716849451645,,
67,74.77567298105683,,
0,,66.89930209371884,
1,,66.89930209371884,
2,,67.098703888335,
3,,67.59720837487538,
4,,67.39780658025923,
5,,67.19840478564308,
6,,67.19840478564308,
7,,67.99601196410768,
8,,67.69690927218345,
9,,69.19242273180458,
10,,71.68494516450649,
11,,70.58823529411765,
12,,70.08973080757727,
13,,68.69391824526421,
14,,72.88135593220339,
15,,71.9840478564307,
16,,70.88733798604187,
17,,73.08075772681954,
18,,73.57926221335993,
19,,71.38584247258225,
20,,74.27716849451645,
21,,73.47956131605184,
22,,74.77567298105683,
23,,73.28015952143569,
24,,71.08673978065802,
25,,74.67597208374876,
26,,73.57926221335993,
27,,71.9840478564307,
28,,75.47357926221336,
29,,75.57328015952143,
30,,74.17746759720838,
31,,71.78464606181456,
32,,73.57926221335993,
33,,73.28015952143569,
34,,74.0777666999003,
35,,74.4765702891326,
36,,74.57627118644068,
37,,74.57627118644068,
38,,71.5852442671984,
39,,72.48255234297109,
40,,73.18045862412762,
41,,74.87537387836491,
42,,72.48255234297109,
43,,75.67298105682951,
44,,75.57328015952143,
45,,75.57328015952143,
46,,74.57627118644068,
47,,74.37686939182453,
48,,73.97806580259223,
49,,74.17746759720838,
50,,75.67298105682951,
51,,75.07477567298106,
52,,75.47357926221336,
53,,74.57627118644068,
54,,75.17447657028913,
55,,75.47357926221336,
56,,76.5702891326022,
57,,74.97507477567298,
58,,75.07477567298106,
59,,73.28015952143569,
60,,75.07477567298106,
61,,74.77567298105683,
62,,76.07178464606181,
63,,74.0777666999003,
64,,74.0777666999003,
65,,74.77567298105683,
66,,74.27716849451645,
67,,74.77567298105683,
0,,,65.50592264877979
1,,,66.99015270443842
2,,,67.20422434708149
3,,,67.33266733266733
4,,,67.48965320393891
5,,,67.26131011845298
6,,,67.57528186099614
7,,,67.33266733266733
8,,,68.0462394748109
9,,,68.65991151705437
10,,,68.60282574568289
11,,,68.9453403739118
12,,,69.10232624518339
13,,,69.18795490224062
14,,,69.37348365919794
15,,,69.57328385899814
16,,,70.24404167261311
17,,,70.18695590124162
18,,,70.20122734408449
19,,,70.7435421721136
20,,,70.68645640074212
21,,,71.18595690024262
22,,,70.85771371485657
23,,,71.30012844298558
24,,,71.25731411445697
25,,,71.01469958612816
26,,,71.31439988582845
27,,,71.78535749964321
28,,,71.38575710004281
29,,,71.02897102897103
30,,,71.89952904238619
31,,,71.51420008562866
32,,,71.27158555729984
33,,,71.35721421435707
34,,,71.9423433709148
35,,,72.2420436706151
36,,,71.88525759954331
37,,,71.79962894248608
38,,,71.98515769944342
39,,,72.21350078492935
40,,,72.19922934208648
41,,,71.69972884258598
42,,,71.99942914228629
43,,,71.85671471385757
44,,,72.3419437705152
45,,,72.17068645640074
46,,,72.48465819894392
47,,,72.21350078492935
48,,,72.31340088482946
49,,,72.75581561295847
50,,,71.98515769944342
51,,,72.58455829884402
52,,,72.25631511345797
53,,,72.48465819894392
54,,,72.51320108462966
55,,,72.49892964178679
56,,,72.77008705580134
57,,,72.86998715570144
58,,,72.32767232767233
59,,,72.39902954188669
60,,,72.75581561295847
61,,,72.92707292707293
62,,,72.85571571285857
63,,,72.9413443699158
64,,,72.42757242757243
65,,,72.41330098472956
66,,,72.79862994148708
67,,,72.58455829884402
