Epochs,Validation Scores,Validation Running Scores,train
0,44.62,,
1,59.19,,
2,68.22,,
3,73.17,,
4,76.56,,
5,78.7,,
6,80.65,,
7,81.85,,
8,82.87,,
9,83.73,,
10,83.92,,
11,84.15,,
12,84.59,,
13,83.44,,
14,83.84,,
0,,44.62,
1,,59.19,
2,,68.22,
3,,73.17,
4,,76.56,
5,,78.7,
6,,80.65,
7,,81.85,
8,,82.87,
9,,83.73,
10,,83.92,
11,,84.15,
12,,84.59,
13,,83.44,
14,,83.84,
0,,,30.686
1,,,49.47
2,,,62.598
3,,,69.008
4,,,73.694
5,,,76.642
6,,,79.28
7,,,81.086
8,,,82.42
9,,,83.574
10,,,84.424
11,,,85.052
12,,,85.44
13,,,83.928
14,,,85.32
