Epochs,Normal Epoch Times,PAI Epoch Times
0,815.4988310337067,
1,762.1870970726013,
2,804.4248070716858,
3,775.1959407329559,
4,765.9045820236206,
5,796.2976830005646,
6,753.5156033039093,
7,776.6825549602509,
8,764.0949409008026,
9,760.9822309017181,
10,762.3162977695465,
11,770.9343101978302,
12,786.0796160697937,
13,1557.3665301799774,
14,1933.6084880828857,
15,1419.6525449752808,
16,1371.0628340244293,
17,1373.6234090328217,
18,1392.1899971961975,
19,1368.6052968502045,
20,8327.929427862167,
21,17509.560869932175,
22,1317.9264869689941,
23,4757.453210115433,
24,1499.9197850227356,
25,1433.5956599712372,
26,2044.432559967041,
27,2080.961249113083,
