Epochs,learning_rate
0,0.1
1,0.1
2,0.06999999999999999
3,0.048999999999999995
4,0.0343
5,0.024009999999999997
6,0.016806999999999996
7,0.011764899999999997
8,0.008235429999999997
9,0.005764800999999997
10,0.004035360699999998
11,0.0028247524899999983
12,0.0019773267429999985
13,0.1
14,0.06999999999999999
15,0.048999999999999995
16,0.0343
17,0.024009999999999997
18,0.016806999999999996
19,0.011764899999999997
20,0.008235429999999997
21,0.005764800999999997
22,0.004035360699999998
23,0.0028247524899999983
24,0.0019773267429999985
25,0.0013841287200999988
26,0.06999999999999999
