Epochs,Validation Scores,Validation Running Scores,train
0,44.62,,
1,59.19,,
2,68.22,,
3,73.17,,
4,76.56,,
5,78.7,,
6,80.65,,
7,81.85,,
8,82.87,,
9,83.73,,
10,83.92,,
11,84.15,,
12,84.59,,
13,84.72,,
14,84.66,,
15,84.97,,
16,85.02,,
17,85.1,,
18,84.91,,
19,85.01,,
20,85.02,,
21,84.97,,
22,84.96,,
0,,44.62,
1,,59.19,
2,,68.22,
3,,73.17,
4,,76.56,
5,,78.7,
6,,80.65,
7,,81.85,
8,,82.87,
9,,83.73,
10,,83.92,
11,,84.15,
12,,84.59,
13,,84.72,
14,,84.66,
15,,84.97,
16,,85.02,
17,,85.1,
18,,84.91,
19,,85.01,
20,,85.02,
21,,84.97,
22,,84.96,
0,,,30.686
1,,,49.47
2,,,62.598
3,,,69.008
4,,,73.694
5,,,76.642
6,,,79.28
7,,,81.086
8,,,82.42
9,,,83.574
10,,,84.424
11,,,85.052
12,,,85.44
13,,,85.744
14,,,86.184
15,,,86.128
16,,,86.408
17,,,86.518
18,,,86.658
19,,,86.638
20,,,86.638
21,,,86.75
22,,,86.8
