Epochs,Normal Epoch Times,PAI Epoch Times
0,815.4988310337067,
1,762.1870970726013,
2,804.4248070716858,
3,775.1959407329559,
4,765.9045820236206,
5,796.2976830005646,
6,753.5156033039093,
7,776.6825549602509,
8,764.0949409008026,
9,760.9822309017181,
10,762.3162977695465,
11,770.9343101978302,
12,786.0796160697937,
13,800.5617961883545,
14,895.3995509147644,
15,810.0590028762817,
16,783.8409717082977,
17,790.497163772583,
18,848.3385128974915,
19,793.660492181778,
20,826.2155573368073,
21,805.1128280162811,
22,795.0235130786896,
