Epochs,learning_rate
0,0.001
1,0.001
2,0.00095
3,0.0009025
4,0.000857375
5,0.0008145062499999999
6,0.0007737809374999998
7,0.0007350918906249997
8,0.0006983372960937497
9,0.0006634204312890621
10,0.000630249409724609
11,0.0005987369392383785
12,0.0005688000922764595
13,0.0005403600876626365
14,0.0005133420832795047
15,0.00048767497911552944
16,0.00046329123015975297
17,0.0004401266686517653
18,0.00041812033521917703
19,0.00039721431845821814
20,0.0003773536025353072
21,0.0003584859224085418
22,0.0003405616262881147
23,0.00032353354497370894
24,0.00030735686772502346
25,0.00029198902433877225
26,0.00027738957312183364
27,0.0009025
