Epochs,Validation Scores,Validation Running Scores,train
0,18.103448275862068,,
1,32.758620689655174,,
2,18.96551724137931,,
3,34.48275862068966,,
4,17.24137931034483,,
5,20.689655172413794,,
6,35.3448275862069,,
7,21.551724137931036,,
8,28.448275862068964,,
9,47.41379310344828,,
10,25.862068965517242,,
11,42.241379310344826,,
12,44.827586206896555,,
13,33.62068965517241,,
14,30.17241379310345,,
15,33.62068965517241,,
16,39.6551724137931,,
17,22.413793103448278,,
18,39.6551724137931,,
19,49.13793103448276,,
20,49.13793103448276,,
21,40.51724137931034,,
22,45.689655172413794,,
23,47.41379310344828,,
24,54.310344827586206,,
25,45.689655172413794,,
26,61.206896551724135,,
27,40.51724137931034,,
28,31.03448275862069,,
29,41.37931034482759,,
30,37.06896551724138,,
31,14.655172413793103,,
32,40.51724137931034,,
33,31.03448275862069,,
34,23.275862068965516,,
35,45.689655172413794,,
36,37.93103448275862,,
37,49.13793103448276,,
38,33.62068965517241,,
39,51.724137931034484,,
40,36.206896551724135,,
41,57.758620689655174,,
42,43.10344827586207,,
43,27.586206896551722,,
44,46.55172413793103,,
45,45.689655172413794,,
46,49.13793103448276,,
47,48.275862068965516,,
48,31.03448275862069,,
49,53.44827586206897,,
50,43.10344827586207,,
51,53.44827586206897,,
0,,18.103448275862068,
1,,32.758620689655174,
2,,18.96551724137931,
3,,34.48275862068966,
4,,17.24137931034483,
5,,20.689655172413794,
6,,35.3448275862069,
7,,21.551724137931036,
8,,28.448275862068964,
9,,47.41379310344828,
10,,25.862068965517242,
11,,42.241379310344826,
12,,44.827586206896555,
13,,33.62068965517241,
14,,30.17241379310345,
15,,33.62068965517241,
16,,39.6551724137931,
17,,22.413793103448278,
18,,39.6551724137931,
19,,49.13793103448276,
20,,49.13793103448276,
21,,40.51724137931034,
22,,45.689655172413794,
23,,47.41379310344828,
24,,54.310344827586206,
25,,45.689655172413794,
26,,61.206896551724135,
27,,40.51724137931034,
28,,31.03448275862069,
29,,41.37931034482759,
30,,37.06896551724138,
31,,14.655172413793103,
32,,40.51724137931034,
33,,31.03448275862069,
34,,23.275862068965516,
35,,45.689655172413794,
36,,37.93103448275862,
37,,49.13793103448276,
38,,33.62068965517241,
39,,51.724137931034484,
40,,36.206896551724135,
41,,57.758620689655174,
42,,43.10344827586207,
43,,27.586206896551722,
44,,46.55172413793103,
45,,45.689655172413794,
46,,49.13793103448276,
47,,48.275862068965516,
48,,31.03448275862069,
49,,53.44827586206897,
50,,43.10344827586207,
51,,53.44827586206897,
0,,,17.953667953667953
1,,,24.903474903474905
2,,,28.185328185328185
3,,,32.04633204633205
4,,,35.13513513513514
5,,,36.96911196911197
6,,,38.513513513513516
7,,,40.83011583011583
8,,,43.43629343629344
9,,,46.23552123552123
10,,,43.91891891891892
11,,,47.49034749034749
12,,,47.49034749034749
13,,,49.61389961389961
14,,,51.351351351351354
15,,,52.8957528957529
16,,,52.12355212355212
17,,,50.38610038610039
18,,,54.343629343629345
19,,,53.86100386100386
20,,,53.47490347490348
21,,,56.37065637065637
22,,,57.142857142857146
23,,,56.17760617760618
24,,,57.04633204633205
25,,,58.397683397683394
26,,,58.68725868725869
27,,,54.24710424710425
28,,,54.054054054054056
29,,,53.37837837837838
30,,,54.729729729729726
31,,,56.56370656370656
32,,,58.3011583011583
33,,,59.55598455598456
34,,,60.61776061776062
35,,,60.424710424710426
36,,,60.03861003861004
37,,,63.996138996138995
38,,,63.12741312741313
39,,,62.25868725868726
40,,,63.12741312741313
41,,,63.513513513513516
42,,,64.38223938223938
43,,,66.6023166023166
44,,,64.57528957528957
45,,,67.47104247104247
46,,,67.47104247104247
47,,,69.2084942084942
48,,,67.76061776061776
49,,,69.5945945945946
50,,,69.2084942084942
51,,,67.47104247104247
