Epochs,learning_rate
0,0.001
1,0.001
2,0.00095
3,0.0009025
4,0.000857375
5,0.0008145062499999999
6,0.0007737809374999998
7,0.0007350918906249997
8,0.0006983372960937497
9,0.0006634204312890621
10,0.000630249409724609
11,0.0005987369392383785
12,0.0005688000922764595
13,0.0005403600876626365
14,0.0005133420832795047
15,0.00048767497911552944
16,0.00046329123015975297
17,0.0004401266686517653
18,0.00041812033521917703
19,0.00039721431845821814
20,0.0003773536025353072
21,0.0003584859224085418
22,0.0003405616262881147
23,0.00032353354497370894
24,0.00030735686772502346
25,0.00029198902433877225
26,0.00027738957312183364
27,0.0002635200944657419
28,0.0002503440897424548
29,0.00023782688525533205
30,0.00022593554099256544
31,0.00021463876394293716
32,0.0002039068257457903
33,0.00019371148445850077
34,0.00018402591023557573
35,0.00017482461472379692
36,0.00016608338398760707
37,0.0001577792147882267
38,0.00014989025404881537
39,0.00014239574134637458
40,0.00013527595427905584
41,0.00012851215656510304
42,0.00012208654873684788
43,0.00011598222130000548
44,0.00011018311023500519
45,0.00010467395472325493
46,9.944025698709218e-05
47,9.446824413773756e-05
48,8.974483193085068e-05
49,8.525759033430814e-05
50,8.099471081759274e-05
51,7.69449752767131e-05
52,7.309772651287744e-05
53,6.944284018723356e-05
54,6.597069817787189e-05
55,6.267216326897829e-05
56,5.953855510552937e-05
57,5.65616273502529e-05
58,5.373354598274025e-05
59,5.104686868360323e-05
60,4.849452524942307e-05
61,4.606979898695191e-05
62,4.376630903760431e-05
63,0.001
64,0.00095
65,0.0009025
66,0.000857375
67,0.0008145062499999999
68,0.0007737809374999998
69,0.0007350918906249997
70,0.0006983372960937497
71,0.0006634204312890621
72,0.000630249409724609
73,0.0005987369392383785
74,0.0005688000922764595
75,0.0005403600876626365
76,0.0005133420832795047
77,0.00048767497911552944
78,0.00046329123015975297
79,0.0004401266686517653
80,0.00041812033521917703
81,0.00039721431845821814
82,0.0003773536025353072
83,0.0003584859224085418
84,0.0003405616262881147
85,0.00032353354497370894
86,0.00030735686772502346
87,0.00029198902433877225
88,0.00027738957312183364
89,0.0002635200944657419
90,0.0002503440897424548
91,0.00023782688525533205
92,0.00022593554099256544
93,0.00021463876394293716
94,0.0002039068257457903
95,0.00019371148445850077
96,0.00018402591023557573
97,0.00017482461472379692
98,0.00016608338398760707
99,0.0001577792147882267
100,0.00014989025404881537
101,0.00014239574134637458
102,0.00013527595427905584
103,0.00012851215656510304
104,0.00012208654873684788
105,0.00011598222130000548
106,0.00011018311023500519
107,0.00010467395472325493
108,9.944025698709218e-05
109,9.446824413773756e-05
110,8.974483193085068e-05
111,8.525759033430814e-05
112,8.099471081759274e-05
113,7.69449752767131e-05
114,7.309772651287744e-05
115,6.944284018723356e-05
116,6.597069817787189e-05
117,6.267216326897829e-05
118,5.953855510552937e-05
119,5.65616273502529e-05
120,5.373354598274025e-05
121,5.104686868360323e-05
122,4.849452524942307e-05
123,4.606979898695191e-05
124,4.376630903760431e-05
125,4.157799358572409e-05
126,3.9499093906437885e-05
127,3.752413921111599e-05
128,3.564793225056019e-05
129,3.3865535638032174e-05
130,3.2172258856130564e-05
131,3.056364591332403e-05
132,2.903546361765783e-05
133,2.758369043677494e-05
134,2.620450591493619e-05
135,2.489428061918938e-05
136,2.364956658822991e-05
137,2.2467088258818413e-05
138,2.134373384587749e-05
139,2.0276547153583614e-05
140,1.9262719795904432e-05
141,1.829958380610921e-05
142,1.738460461580375e-05
143,1.6515374385013564e-05
144,1.5689605665762886e-05
145,1.490512538247474e-05
