Epochs,Validation Scores,Validation Running Scores
0,0.22753176093101501,
1,0.19407705962657928,
2,0.14388397336006165,
3,0.19657063484191895,
4,0.14748996496200562,
5,0.16639749705791473,
6,0.11635889858007431,
7,0.18348348140716553,
8,0.17865952849388123,
9,0.14933961629867554,
10,0.16687801480293274,
11,0.15142172574996948,
12,0.1587727814912796,
13,0.1810927391052246,
0,,0.22753176093101501
1,,0.19407705962657928
2,,0.14388397336006165
3,,0.19657063484191895
4,,0.14748996496200562
5,,0.16639749705791473
6,,0.11635889858007431
7,,0.18348348140716553
8,,0.17865952849388123
9,,0.14933961629867554
10,,0.16687801480293274
11,,0.15142172574996948
12,,0.1587727814912796
13,,0.1810927391052246
