Epochs,Validation Scores,Validation Running Scores
0,0.22753176093101501,
1,0.19407705962657928,
2,0.14388397336006165,
3,0.19657063484191895,
4,0.22224876284599304,
5,0.2491871565580368,
6,0.13462239503860474,
7,0.22194921970367432,
8,0.28758156299591064,
9,0.22587931156158447,
10,0.212385356426239,
11,0.11378918588161469,
12,0.15393823385238647,
13,0.20938336849212646,
14,0.19739457964897156,
15,0.20312969386577606,
16,0.1633535772562027,
17,0.23125919699668884,
18,0.2212514877319336,
19,0.35926008224487305,
20,0.22665175795555115,
21,0.20723235607147217,
22,0.2209269255399704,
23,0.22379808127880096,
24,0.17023663222789764,
25,0.17424851655960083,
26,0.23193126916885376,
27,0.1839635968208313,
28,0.16725830733776093,
29,0.2833523154258728,
0,,0.22753176093101501
1,,0.19407705962657928
2,,0.14388397336006165
3,,0.19657063484191895
4,,0.22224876284599304
5,,0.2491871565580368
6,,0.13462239503860474
7,,0.22194921970367432
8,,0.28758156299591064
9,,0.22587931156158447
10,,0.212385356426239
11,,0.11378918588161469
12,,0.15393823385238647
13,,0.20938336849212646
14,,0.19739457964897156
15,,0.20312969386577606
16,,0.1633535772562027
17,,0.23125919699668884
18,,0.2212514877319336
19,,0.35926008224487305
20,,0.22665175795555115
21,,0.20723235607147217
22,,0.2209269255399704
23,,0.22379808127880096
24,,0.17023663222789764
25,,0.17424851655960083
26,,0.23193126916885376
27,,0.1839635968208313
28,,0.16725830733776093
29,,0.2833523154258728
