Epochs,learning_rate
0,4.986304738420681e-05
1,4.9453690018345226e-05
2,4.8776412907378884e-05
3,4.783863644106497e-05
4,4.986304738420681e-05
5,4.9453690018345226e-05
6,4.8776412907378884e-05
7,4.783863644106497e-05
8,4.665063509461101e-05
9,4.986304738420681e-05
10,4.9453690018345226e-05
11,4.8776412907378884e-05
12,4.783863644106497e-05
13,4.665063509461101e-05
14,4.5225424859373704e-05
15,4.357862063693474e-05
16,4.172826515897135e-05
17,3.969463130731171e-05
18,3.749999999999991e-05
19,3.516841607689496e-05
20,3.272542485937361e-05
21,3.0197792270443948e-05
22,2.7613211581691293e-05
23,2.499999999999996e-05
24,2.2386788418308628e-05
25,1.9802207729555977e-05
26,1.7274575140626304e-05
27,1.483158392310496e-05
28,1.2499999999999984e-05
29,1.0305368692688156e-05
