Epochs,Validation Scores,Validation Running Scores
0,0.2109387367963791,
1,0.1985090672969818,
2,0.22838406264781952,
3,0.21493858098983765,
4,0.32517486810684204,
5,0.25443530082702637,
6,0.21667365729808807,
7,0.23898527026176453,
8,0.25686582922935486,
9,0.24418871104717255,
10,0.2707293629646301,
11,0.18549345433712006,
12,0.2369614541530609,
13,0.2328844517469406,
14,0.25830668210983276,
0,,0.2109387367963791
1,,0.1985090672969818
2,,0.22838406264781952
3,,0.21493858098983765
4,,0.32517486810684204
5,,0.25443530082702637
6,,0.21667365729808807
7,,0.23898527026176453
8,,0.25686582922935486
9,,0.24418871104717255
10,,0.2707293629646301
11,,0.18549345433712006
12,,0.2369614541530609
13,,0.2328844517469406
14,,0.25830668210983276
