Epochs,learning_rate
0,2.9815325108927045e-05
1,2.926584774442728e-05
2,2.836509786282551e-05
3,2.713525491562422e-05
4,2.5606601717798165e-05
5,2.9815325108927045e-05
6,2.926584774442728e-05
7,2.836509786282551e-05
8,2.713525491562422e-05
9,2.5606601717798165e-05
10,2.381677878438702e-05
11,2.180985749609316e-05
12,1.963525491562415e-05
13,1.7346516975603415e-05
14,1.4999999999999978e-05
15,1.2653483024396513e-05
16,1.0364745084375783e-05
17,8.1901425039068e-06
18,6.183221215612901e-06
19,4.393398282201784e-06
20,2.8647450843757827e-06
21,1.6349021371744784e-06
22,7.341522555726951e-07
23,1.846748910729346e-07
24,0.0
25,1.8467489107293343e-07
