Epochs,learning_rate
0,2.9815325108927045e-05
1,2.926584774442728e-05
2,2.836509786282551e-05
3,2.713525491562422e-05
4,2.5606601717798165e-05
5,2.9815325108927045e-05
6,2.926584774442728e-05
7,2.836509786282551e-05
8,2.713525491562422e-05
9,2.5606601717798165e-05
10,2.381677878438702e-05
11,2.180985749609316e-05
12,1.963525491562415e-05
13,1.7346516975603415e-05
14,1.4999999999999978e-05
15,1.2653483024396513e-05
16,2.9815325108927045e-05
17,2.926584774442728e-05
18,2.836509786282551e-05
19,2.713525491562422e-05
20,2.5606601717798165e-05
21,2.381677878438702e-05
22,2.180985749609316e-05
23,1.963525491562415e-05
24,1.7346516975603415e-05
25,1.4999999999999978e-05
26,1.2653483024396513e-05
27,1.0364745084375783e-05
28,8.1901425039068e-06
