Epochs,Validation Scores,Validation Running Scores,Train,Test Accuracy
0,10.9375,,,
1,17.5,,,
2,24.375,,,
3,23.75,,,
4,24.0625,,,
5,28.75,,,
6,26.25,,,
7,32.5,,,
8,31.25,,,
9,38.4375,,,
10,40.9375,,,
11,40.9375,,,
12,45.3125,,,
13,44.375,,,
14,47.1875,,,
15,43.125,,,
16,46.5625,,,
17,49.0625,,,
18,49.6875,,,
19,53.125,,,
20,52.8125,,,
21,51.25,,,
22,52.1875,,,
23,51.5625,,,
24,51.875,,,
25,56.25,,,
26,60.9375,,,
27,49.0625,,,
28,58.75,,,
29,61.875,,,
30,60.3125,,,
31,60.3125,,,
32,58.4375,,,
33,64.375,,,
34,61.875,,,
35,63.75,,,
36,57.8125,,,
37,63.4375,,,
38,62.8125,,,
39,63.4375,,,
40,67.5,,,
41,65.9375,,,
42,67.1875,,,
43,68.4375,,,
44,68.125,,,
45,68.125,,,
46,68.4375,,,
47,68.4375,,,
48,68.125,,,
49,72.8125,,,
50,69.375,,,
51,71.25,,,
52,70.3125,,,
53,70.3125,,,
54,71.875,,,
55,69.375,,,
56,73.125,,,
57,71.25,,,
58,72.8125,,,
59,71.875,,,
60,72.8125,,,
61,72.8125,,,
62,73.75,,,
63,74.375,,,
64,71.25,,,
65,72.8125,,,
66,75.3125,,,
67,72.5,,,
68,71.5625,,,
69,72.8125,,,
70,71.875,,,
71,75.625,,,
72,70.9375,,,
73,75.3125,,,
74,73.125,,,
75,74.6875,,,
76,69.6875,,,
77,73.75,,,
78,73.75,,,
79,74.6875,,,
0,,10.9375,,
1,,17.5,,
2,,24.375,,
3,,23.75,,
4,,24.0625,,
5,,28.75,,
6,,26.25,,
7,,32.5,,
8,,31.25,,
9,,38.4375,,
10,,40.9375,,
11,,40.9375,,
12,,45.3125,,
13,,44.375,,
14,,47.1875,,
15,,43.125,,
16,,46.5625,,
17,,49.0625,,
18,,49.6875,,
19,,53.125,,
20,,52.8125,,
21,,51.25,,
22,,52.1875,,
23,,51.5625,,
24,,51.875,,
25,,56.25,,
26,,60.9375,,
27,,49.0625,,
28,,58.75,,
29,,61.875,,
30,,60.3125,,
31,,60.3125,,
32,,58.4375,,
33,,64.375,,
34,,61.875,,
35,,63.75,,
36,,57.8125,,
37,,63.4375,,
38,,62.8125,,
39,,63.4375,,
