Epochs,learning_rate
0,0.0001
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,0.0001
12,0.0001
13,0.0001
14,0.0001
15,0.0001
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.0001
30,0.0001
31,0.0001
32,0.0001
33,0.0001
34,0.0001
35,0.0001
36,0.0001
37,0.0001
38,0.0001
39,0.0001
40,5e-05
41,5e-05
42,5e-05
43,5e-05
44,5e-05
45,5e-05
46,5e-05
47,5e-05
48,5e-05
49,5e-05
50,5e-05
51,5e-05
52,5e-05
53,5e-05
54,5e-05
55,5e-05
56,2.5e-05
57,2.5e-05
58,2.5e-05
59,2.5e-05
60,2.5e-05
61,2.5e-05
62,2.5e-05
63,2.5e-05
64,2.5e-05
65,2.5e-05
66,2.5e-05
67,2.5e-05
68,2.5e-05
69,2.5e-05
70,2.5e-05
71,2.5e-05
72,2.5e-05
73,2.5e-05
74,2.5e-05
75,2.5e-05
76,2.5e-05
77,2.5e-05
78,1.25e-05
79,1.25e-05
80,1.25e-05
81,1.25e-05
