Epochs,learning_rate
0,0.0001
1,0.0001
2,0.0001
3,0.0001
4,0.0001
5,0.0001
6,0.0001
7,0.0001
8,0.0001
9,0.0001
10,0.0001
11,0.0001
12,0.0001
13,0.0001
14,0.0001
15,0.0001
16,0.0001
17,0.0001
18,0.0001
19,0.0001
20,0.0001
21,0.0001
22,0.0001
23,0.0001
24,0.0001
25,0.0001
26,0.0001
27,0.0001
28,0.0001
29,0.0001
30,0.0001
31,0.0001
32,0.0001
33,0.0001
34,0.0001
35,0.0001
36,0.0001
37,0.0001
38,0.0001
39,0.0001
40,5e-05
41,5e-05
42,5e-05
43,5e-05
44,5e-05
45,5e-05
46,5e-05
47,5e-05
48,5e-05
49,5e-05
50,5e-05
51,5e-05
52,5e-05
53,5e-05
54,5e-05
55,5e-05
56,2.5e-05
57,2.5e-05
58,2.5e-05
59,2.5e-05
60,2.5e-05
61,2.5e-05
62,2.5e-05
63,2.5e-05
64,2.5e-05
65,2.5e-05
66,2.5e-05
67,2.5e-05
68,2.5e-05
69,2.5e-05
70,2.5e-05
71,2.5e-05
72,0.0001
73,0.0001
74,0.0001
75,0.0001
76,0.0001
77,0.0001
78,0.0001
79,0.0001
80,0.0001
81,0.0001
82,0.0001
83,0.0001
84,0.0001
85,0.0001
86,0.0001
87,0.0001
88,0.0001
89,0.0001
90,0.0001
91,0.0001
92,0.0001
93,0.0001
94,0.0001
95,0.0001
96,0.0001
97,0.0001
98,0.0001
99,0.0001
100,0.0001
101,0.0001
102,0.0001
103,0.0001
104,0.0001
105,0.0001
106,0.0001
107,0.0001
108,0.0001
109,0.0001
110,0.0001
111,0.0001
112,0.0001
113,5e-05
114,5e-05
115,5e-05
116,5e-05
117,5e-05
118,5e-05
119,5e-05
120,5e-05
121,5e-05
122,5e-05
123,5e-05
124,5e-05
125,2.5e-05
126,2.5e-05
127,2.5e-05
128,2.5e-05
129,2.5e-05
130,2.5e-05
131,1.25e-05
132,1.25e-05
133,1.25e-05
134,1.25e-05
135,1.25e-05
136,1.25e-05
137,6.25e-06
138,6.25e-06
139,6.25e-06
140,6.25e-06
141,5e-05
142,5e-05
143,5e-05
144,5e-05
145,5e-05
